GeneSymbol,Variant_Record_Count,Pathogenic_Likely_Pathogenic_Record_Count,Pathogenic_Likely_Pathogenic_Percent
LDLR,4558,2011,44.12022817025011
GJB2,656,253,38.56707317073171
MLH1,6275,1938,30.88446215139442
BRCA1,15363,4256,27.702922606261797
MSH2,8167,2176,26.643810456716054
BRCA2,21384,5661,26.473063973063972
CFTR,6094,1465,24.040039382999673
MYBPC3,4658,1060,22.756547874624303
MSH6,10408,2260,21.714066102997695
PMS2,5999,991,16.51941990331722
APC,16869,2602,15.42474361254372
MUTYH,4177,419,10.031122815417765
TNNI3,849,80,9.422850412249705
EPCAM,1014,81,7.988165680473373
MYH7,5808,431,7.420798898071625
TNNT2,1148,66,5.7491289198606275
APOB,5094,250,4.907734589713388
PCSK9,1534,18,1.1734028683181226
