Sample,percent_duplicates,percent_gc,avg_sequence_length,median_sequence_length,percent_fails,total_sequences_millions,estimated_total_sequences,sample_id,lane,read,n_pass_modules,n_warn_modules,n_fail_modules,total_modules,QC_Flag
TESTX_H7YRLADXX_S1_L001_R1_001,0.0120000000000004,42.0,101.0,101,18.181818181818183,0.0249999999999999,25000,TESTX,L001,R1,8,1,2,11,Review - FastQC module failure present
TESTX_H7YRLADXX_S1_L001_R2_001,0.2079999999999984,42.0,101.0,101,18.181818181818183,0.0249999999999999,25000,TESTX,L001,R2,7,2,2,11,Review - FastQC module failure present
TESTX_H7YRLADXX_S1_L002_R1_001,0.0319999999999964,42.0,101.0,101,18.181818181818183,0.0249999999999999,25000,TESTX,L002,R1,8,1,2,11,Review - FastQC module failure present
TESTX_H7YRLADXX_S1_L002_R2_001,0.3399999999999892,42.0,101.0,101,18.181818181818183,0.0249999999999999,25000,TESTX,L002,R2,7,2,2,11,Review - FastQC module failure present
TESTY_H7YRLADXX_S1_L001_R1_001,0.0759999999999934,43.0,101.0,101,18.181818181818183,0.0249999999999999,25000,TESTY,L001,R1,8,1,2,11,Review - FastQC module failure present
TESTY_H7YRLADXX_S1_L001_R2_001,0.2719999999999913,43.0,101.0,101,18.181818181818183,0.0249999999999999,25000,TESTY,L001,R2,7,2,2,11,Review - FastQC module failure present
TESTY_H7YRLADXX_S1_L002_R1_001,0.0639999999999929,43.0,101.0,101,18.181818181818183,0.0249999999999999,25000,TESTY,L002,R1,8,1,2,11,Review - FastQC module failure present
TESTY_H7YRLADXX_S1_L002_R2_001,0.3840000000000003,43.0,101.0,101,18.181818181818183,0.0249999999999999,25000,TESTY,L002,R2,7,2,2,11,Review - FastQC module failure present
TESTZ_H7YRLADXX_S1_L001_R1_001,0.0240000000000009,43.0,101.0,101,18.181818181818183,0.0249999999999999,25000,TESTZ,L001,R1,8,1,2,11,Review - FastQC module failure present
TESTZ_H7YRLADXX_S1_L001_R2_001,0.2319999999999993,43.0,101.0,101,18.181818181818183,0.0249999999999999,25000,TESTZ,L001,R2,7,2,2,11,Review - FastQC module failure present
TESTZ_H7YRLADXX_S1_L002_R1_001,0.0160000000000053,43.0,101.0,101,18.181818181818183,0.0249999999999999,25000,TESTZ,L002,R1,8,1,2,11,Review - FastQC module failure present
TESTZ_H7YRLADXX_S1_L002_R2_001,0.2879999999999967,43.0,101.0,101,18.181818181818183,0.0249999999999999,25000,TESTZ,L002,R2,7,2,2,11,Review - FastQC module failure present
